sentence,response,response_round,type,lexicalization,condition
Сосед обзаведётся хрустальным и фарфоровым сервизами.,6.769230769230769,7.0,stimul,10.0,"plural, and"
Шестеро из нас справимся с заменой лампочек.,1.75,2.0,stimul,11.0,"we, elect, 1pl"
Завтра они с Никитой заполняют бумаги дедушки.,5.375,5.0,stimul,27.0,"inclusory comitative, 3rd person pronoun"
В годовом отчете складываются расход и прибыль.,5.142857142857143,5.0,stimul,16.0,"symmetric, plural verb, VS"
Яша или я закажут этот дорогой десерт.,2.6666666666666665,3.0,stimul,24.0,"3pl, or"
Политолог будет заниматься европейским или азиатским регионом.,5.307692307692308,5.0,stimul,4.0,"singular, or"
"И Володя, и я приобретём ценный опыт.",5.5,6.0,stimul,16.0,"1pl, and_and"
Перекус из овощей готовишь ты и я.,3.4285714285714284,3.0,stimul,31.0,"you_I, 2sg"
За выполненные задачи отчитаются мы все.,2.125,2.0,stimul,43.0,"we, nom, 3pl"
Команда проиграла матча и турнира.,1.6862745098039216,2.0,filler,,bad
Я и ты чиню шкафчик для посуды.,2.0,2.0,stimul,4.0,"I_you, 1sg"
Вы с Кириллом будете строго наказаны.,6.360824742268041,6.0,filler,,good
Они все опубликуются в научных журналах.,4.6,5.0,stimul,2.0,"they, oni, 3pl"
"Два стола стояло в компьютерном классе, находящемся напротив лектория.",4.071428571428571,4.0,stimul,25.0,"singular verb, SV, non-feminine noun"
Обычно он и Соня осознают возможные риски.,5.1,5.0,stimul,15.0,"conjunction, 3rd person pronoun"
Крючок и кольцо сцепляется в серебряной застежке.,4.5,4.0,stimul,6.0,"symmetric, singular verb, SV"
Шестеро из нас подметут в учебных кабинетах.,4.5,4.0,stimul,41.0,"we, elect, 3pl"
В спортивные секции запишутся все из них.,3.888888888888889,4.0,stimul,12.0,"they, elect, 3pl"
В социальных опросах поучаствует семеро из них.,4.625,5.0,stimul,48.0,"they, elect, 3sg"
В классическом искусстве сочетаются порядок и хаос.,6.0,6.0,stimul,25.0,"symmetric, plural verb, VS"
"И я, и Стёпа попробует яблочный пирог.",2.1,2.0,stimul,9.0,"3sg, and_and"
Илья или я выполнит это срочное задание.,2.6,3.0,stimul,7.0,"3sg, or"
Я и ты забираю машину из сервиса.,2.5384615384615383,3.0,stimul,29.0,"I_you, 1sg"
Нижегородская и псковская интеллигенция подружились на форуме.,5.694444444444445,6.0,stimul,44.0,"singular, gap"
В причудливом узоре закрашиваются сердце и круг.,4.714285714285714,5.0,stimul,32.0,"nonsymmetric, plural verb, VS"
После поломки Витя отремонтировал колесики большого и маленького чемодана.,4.6,5.0,stimul,30.0,"singular, and"
Семеро из них отдохнут на южных курортах.,6.5,6.0,stimul,24.0,"they, elect, 3pl"
"Все, кто опоздает на урок, напишут объяснительные.",6.857142857142857,7.0,stimul,19.0,"no head noun, singular verb"
На старой фотографии сливается лицо и фон.,5.714285714285714,6.0,stimul,2.0,"symmetric, singular verb, VS"
Ты и я встречаю рассвет у озера.,2.642857142857143,3.0,stimul,7.0,"you_I, 1sg"
О нужных продуктах позаботится семеро из них.,4.555555555555555,5.0,stimul,30.0,"they, elect, 3sg"
"Олимпиада, проходившая в Пекине, длились две недели.",4.533980582524272,5.0,filler,500.0,bad
Яша и я приготовлю вкусный обед.,2.9,3.0,stimul,30.0,"1sg, and"
Цепочку у ломбарда выкупают я и ты.,2.533333333333333,3.0,stimul,8.0,"I_you, 3pl"
На далеком горизонте сходятся земля и небо.,5.8,6.0,stimul,22.0,"symmetric, plural verb, VS"
Они трое опубликуется в научных журналах.,2.272727272727273,2.0,stimul,2.0,"they, nom, 3sg"
В больших палатках переночуют двое из нас.,5.333333333333333,5.0,stimul,19.0,"we, elect, 3pl"
В оригинальном сценарии переплетается долг и зло.,4.8,5.0,stimul,28.0,"symmetric, singular verb, VS"
Петя и я нарисует подробную схему.,2.7,3.0,stimul,1.0,"3sg, and"
"Все, кто приплывет на корабле, пройдут проверку.",5.0,5.0,stimul,17.0,"no head noun, singular verb"
Я и ты снимаю комнату у метро.,2.9285714285714284,3.0,stimul,5.0,"I_you, 1sg"
Поэзия и проза теряется в великом романе.,4.285714285714286,4.0,stimul,13.0,"nonsymmetric, singular verb, SV"
Они все возьмутся за новые проекты.,6.2,6.0,stimul,42.0,"they, oni, 3pl"
Вера и религия отождествляются в этой теории.,6.285714285714286,6.0,stimul,23.0,"symmetric, plural verb, SV"
Переезд за границу намечаешь я и ты.,2.142857142857143,2.0,stimul,26.0,"I_you, 2sg"
За первые парты сядут четверо из них.,5.444444444444445,5.0,stimul,39.0,"they, elect, 3pl"
С проведением экзаменов поможет мы четверо.,1.75,2.0,stimul,3.0,"we, nom, 3sg"
"Партнеры, привлекшие инвестиции в компанию, подписали на встрече три соглашения.",5.69,6.0,filler,500.0,good
Директор будет пользоваться личным или служебным автомобилями.,4.5,4.0,stimul,25.0,"plural, or"
В важные переговоры вмешаются они все.,4.333333333333333,4.0,stimul,29.0,"they, oni, 3pl"
Море и солнце описываются в известном стихотворении.,6.428571428571429,6.0,stimul,27.0,"nonsymmetric, plural verb, SV"
"Или я, или Петя подниму этот важный вопрос.",2.5,2.0,stimul,15.0,"1sg, or_or"
Часто ты и Катя танцуете финское танго.,4.545454545454546,5.0,stimul,2.0,"conjunction, 2nd person pronoun"
Мы все рассчитаемся с кредитными долгами.,6.25,6.0,stimul,23.0,"we, nom, 1pl"
Кирилл и я прополем капустную грядку.,5.1,5.0,stimul,24.0,"1pl, and"
Родион продал российские и иностранные автомобили по сниженной цене.,6.555555555555555,7.0,stimul,22.0,"same, plural, numeral_no"
"Те, кто заболеет в дороге, примут лекарства.",5.111111111111111,5.0,stimul,27.0,"no head noun, singular verb"
На предложения конкурентов согласятся они трое.,3.111111111111111,3.0,stimul,14.0,"they, nom, 3pl"
Стёпа и я попробуют яблочный пирог.,4.1,4.0,stimul,9.0,"3pl, and"
В социальных опросах поучаствуют семеро из них.,5.888888888888889,6.0,stimul,48.0,"they, elect, 3pl"
Мы все рассчитаются с кредитными долгами.,1.25,1.0,stimul,23.0,"we, nom, 3pl"
Николай рассмотрел пять древних и современные экспонаты в историческом музее.,3.6666666666666665,4.0,stimul,15.0,"different-in-numeral, plural, numeral_no"
Стены под покраску ровняем я и ты.,5.0,5.0,stimul,21.0,"I_you, 1pl"
"Каждую пациентку, кто лежал в отделении кардиологии, ограничивают врачебные предписания.",4.142857142857143,4.0,stimul,24.0,"with head noun, feminine head, masculine verb"
Двое часовых будут стоять у парадного входа.,6.15,6.0,filler,,good
Врач не вылечил этих дюжину пациентов.,2.1666666666666665,2.0,dyuzina,8.0,"gen, animated"
Город и деревня сближаются в отдаленном регионе.,4.4,4.0,stimul,10.0,"symmetric, plural verb, SV"
"Все атлеты, кто добежит до финиша, получат медаль.",4.111111111111111,4.0,stimul,9.0,"with head noun, singular verb"
Во время уборки Таня почистила кожаный и плюшевый диваны.,6.333333333333333,6.0,stimul,6.0,"plural, and"
Интеллигенция и пролетариат разобщается в современном мире.,5.4,5.0,stimul,12.0,"symmetric, singular verb, SV"
Честность и прямолинейность различается в человеческом общении.,4.5,4.0,stimul,3.0,"symmetric, singular verb, SV"
Вася покормил десяток птиц в парке.,5.962962962962963,6.0,filler,501.0,good
Олег или я подпишем это деловое соглашение.,5.3,5.0,stimul,17.0,"1pl, or"
Егор и я прочитает вводную лекцию.,2.3,2.0,stimul,18.0,"3sg, and"
Ты и я передаём подарок для подруги.,4.8,5.0,stimul,2.0,"you_I, 1pl"
В нашем дворе женщины обсуждают погоду и здоровье.,6.072727272727272,6.0,filler,501.0,good
Перед завтраком Надя выпили стаканы воды и сока.,1.925531914893617,2.0,filler,33.0,bad
Теперь я с Димой изучаю законы Ньютона.,5.3,5.0,stimul,6.0,"comitative, 1st person pronoun"
Испанский и немецкий друзья прилетели на каникулы.,2.9166666666666665,3.0,stimul,17.0,"plural, stem"
Все из них прилетят в разные аэропорты.,4.75,5.0,stimul,8.0,"they, elect, 3pl"
"Две камеры оказались в маленькой студии, расположенной в кинопавильоне.",5.384615384615385,5.0,stimul,31.0,"plural verb, SV, feminine noun"
Завтра я с Никитой заполняем бумаги дедушки.,3.8333333333333335,4.0,stimul,27.0,"comitative, 1st person pronoun"
Обычно вы с Люсей находите верное решение.,6.166666666666667,6.0,stimul,8.0,"inclusory comitative, 2nd person pronoun"
"Каждую поэтессу, кто публиковалась в спецвыпуске журнала, отличает оригинальный стиль.",4.375,4.0,stimul,29.0,"with head noun, feminine head, feminine verb"
В левом бедре разрушаются протез и кость.,5.0,5.0,stimul,30.0,"nonsymmetric, plural verb, VS"
Коллега возглавит бухгалтерский или финансовый отделы.,3.75,4.0,stimul,11.0,"plural, or"
Руководитель распорядится месячным или квартальным бюджетом.,5.384615384615385,5.0,stimul,32.0,"singular, or"
"Те, кто уедет из деревни, продадут дома.",4.25,4.0,stimul,30.0,"no head noun, singular verb"
Бурый и белый медвежата адаптировались в зоопарке.,5.764705882352941,6.0,stimul,22.0,"plural, suffix"
"На широкой набережной, пролегающей вдоль океана, росли четыре пальмы.",5.153846153846154,5.0,stimul,17.0,"plural verb, VS, feminine noun"
Я и Вася посмотрим документальный фильм.,4.9,5.0,stimul,2.0,"1pl, and"
Родион продал пять российских и шесть иностранных автомобилей по сниженной цене.,6.4,6.0,stimul,22.0,"same, plural, numeral_yes"
Мотострелковая и воздушная пехота двинулись в атаку.,5.416666666666667,5.0,stimul,32.0,"singular, gap"
Ты и я отмываешь духовку от жира.,2.363636363636364,2.0,stimul,10.0,"you_I, 2sg"
"И Гоша, и Боря осуществим давнюю мечту.",2.448717948717949,2.0,filler,33.0,bad
Сапоги от грязи чищу ты и я.,2.142857142857143,2.0,stimul,9.0,"you_I, 1sg"
Заявление на увольнение пишу я и ты.,2.7857142857142856,3.0,stimul,15.0,"I_you, 1sg"
Критики манипулировали этими парой ошибок.,3.0,3.0,para,24.0,"ins, unanimated"
На лечении находились эти дюжина пациентов.,3.333333333333333,3.0,dyuzina,8.0,"nom, animated"
Глеб открыл пять спортивных и шесть компьютерных магазинов в соседних городах.,6.714285714285714,7.0,stimul,30.0,"same, plural, numeral_yes"
Существительное и местоимение сочиняются в первом предложении.,3.6,4.0,stimul,21.0,"symmetric, plural verb, SV"
Я и ты готовим реквизит для спектакля.,5.307692307692308,5.0,stimul,3.0,"I_you, 1pl"
Четверо из нас вернутся в гостиничные номера.,5.833333333333333,6.0,stimul,15.0,"we, elect, 3pl"
Ты и я пишу заявление на увольнение.,2.230769230769231,2.0,stimul,15.0,"you_I, 1sg"
"Многие, кто побывают на открытии, заметят подмену.",4.75,5.0,stimul,12.0,"no head noun, plural verb"
В этой точке заканчивается прошлое и настоящее.,4.6,5.0,stimul,9.0,"nonsymmetric, singular verb, VS"
Со сломанными телефонами разберутся мы четверо.,1.9,2.0,stimul,9.0,"we, nom, 3pl"
Семеро из них объявит о скорых отставках.,1.5,2.0,stimul,36.0,"they, elect, 3sg"
"Все астрономы, которые посмотрят на небо, заметит изменения.",2.6627906976744184,3.0,filler,501.0,bad
На музейной экспертизе изучается оригинал и подделка.,4.571428571428571,5.0,stimul,20.0,"nonsymmetric, singular verb, VS"
Утром ты и Даня решаете задачи менеджмента.,4.181818181818182,4.0,stimul,19.0,"conjunction, 2nd person pronoun"
В левом бедре разрушается протез и кость.,3.571428571428572,4.0,stimul,30.0,"nonsymmetric, singular verb, VS"
Они двое остановятся в дешёвых хостелах.,4.166666666666667,4.0,stimul,7.0,"they, nom, 3pl"
Иван примерил пять синих и три коричневых костюма в магазине одежды.,6.333333333333333,6.0,stimul,20.0,"different, singular, numeral_yes"
Покупатель обзаведётся деловым или спортивным костюмами.,4.0,4.0,stimul,8.0,"plural, or"
Для бальному платья королева выбирает бархат и шелк.,1.981818181818182,2.0,filler,501.0,bad
За два часа Леша починил деревянный и пластмассовый столы.,6.166666666666667,6.0,stimul,11.0,"plural, and"
Интеллигенция и пролетариат осуждается в современном мире.,4.8,5.0,stimul,12.0,"nonsymmetric, singular verb, SV"
Они четверо сядет за первые парты.,1.5,2.0,stimul,39.0,"they, nom, 3sg"
Завтра мы с Никитой заполняем бумаги дедушки.,5.857142857142857,6.0,stimul,27.0,"inclusory comitative, 1st person pronoun"
Валерий заполнил два электронных и три бумажных журнала в конце четверти.,6.375,6.0,stimul,26.0,"same, singular, numeral_yes"
Утром он с Сашей обсуждают планы занятий.,4.0,4.0,stimul,9.0,"comitative, 3rd person pronoun"
Ты и я чиню шкафчик для посуды.,2.142857142857143,2.0,stimul,4.0,"you_I, 1sg"
Моя куча товарищей играла в баскетбол.,4.5,4.0,stimul,25.0,"singular premodifier, singular verb"
"Четыре вагона ехали по железной дороге, ведущей в Тулу.",5.923076923076923,6.0,stimul,29.0,"plural verb, SV, non-feminine noun"
"И я, и Никита попросим дополнительный отгул.",5.5,6.0,stimul,10.0,"1pl, and_and"
Долг и зло переплетается в оригинальном сценарии.,3.8333333333333335,4.0,stimul,28.0,"symmetric, singular verb, SV"
В причудливом узоре чередуется сердце и круг.,6.333333333333333,6.0,stimul,32.0,"symmetric, singular verb, VS"
Снежинки из бумаги вырезаешь ты и я.,3.466666666666667,3.0,stimul,32.0,"you_I, 2sg"
Прошлое и настоящее встречаются в этой точке.,5.666666666666667,6.0,stimul,9.0,"symmetric, plural verb, SV"
В официальной версии смешивается правда и ложь.,5.666666666666667,6.0,stimul,5.0,"symmetric, singular verb, VS"
В новом курсе совмещаются теория и практика.,6.166666666666667,6.0,stimul,7.0,"symmetric, plural verb, VS"
Пьяный и трезвый англичане поспорили на деньги.,5.4,5.0,stimul,42.0,"plural, suffix"
Зрители ждали этих пары актеров.,2.333333333333333,2.0,para,23.0,"gen, animated"
В научных журналах опубликуются мы все.,2.5,2.0,stimul,2.0,"we, nom, 3pl"
В приюте жили эти сотня собак.,2.1666666666666665,2.0,sotnya,2.0,"nom, animated"
Семеро из нас уволятся с нынешних позиций.,5.6,6.0,stimul,18.0,"we, elect, 3pl"
"Каждая, кто пострадал от чистки лица, проклинает нового косметолога.",5.142857142857143,5.0,stimul,18.0,"no head noun, feminine head, masculine verb"
Главный редактор и издатель сошлись во мнении.,6.549295774647887,7.0,filler,76.0,good
В новом курсе совмещается теория и практика.,6.0,6.0,stimul,7.0,"symmetric, singular verb, VS"
"И я, и Гена продолжат заочное обучение.",2.9,3.0,stimul,15.0,"3pl, and_and"
Дима и я послушаю праздничный концерт.,2.5,2.0,stimul,17.0,"1sg, and"
Часто он и Катя танцуют финское танго.,5.142857142857143,5.0,stimul,2.0,"conjunction, 3rd person pronoun"
Пятеро из нас присоединимся к поисковым отрядам.,2.727272727272727,3.0,stimul,28.0,"we, elect, 1pl"
Сердце и круг чередуется в причудливом узоре.,4.5,4.0,stimul,32.0,"symmetric, singular verb, SV"
Лёва или я решит эту сложную задачу.,3.3,3.0,stimul,11.0,"3sg, or"
В мамином характере проявляется мягкость и строгость.,5.8,6.0,stimul,1.0,"nonsymmetric, singular verb, VS"
В пятницу Коля перекрасил спальную и детскую комнаты.,5.153846153846154,5.0,stimul,12.0,"plural, and"
"Или я, или Миша исправят эту случайную ошибку.",2.7,3.0,stimul,31.0,"3pl, or_or"
Артём почистит этот резиновый сапог.,6.1125,6.0,filler,33.0,good
На фестиваль и концерте приехали фанаты.,2.1615384615384614,2.0,filler,,bad
Историк будет заниматься языческим и христианским обрядом.,3.1333333333333333,3.0,stimul,7.0,"singular, and"
Андрей установил аналоговый и цифровые приборы для замера показаний.,4.333333333333333,4.0,stimul,6.0,"different, plural, numeral_no"
Владимир отправил пять карандашных и акварельные рисунки на конкурс талантов.,2.555555555555556,3.0,stimul,11.0,"different-in-numeral, plural, numeral_no"
Александр посетил пять частных и шесть государственных музеев с налоговой проверкой.,6.222222222222222,6.0,stimul,28.0,"same, plural, numeral_yes"
"Или Боря, или я закончат эту шахматную партию.",3.6,4.0,stimul,27.0,"3pl, or_or"
Костя или я расскажет эту интересную историю.,3.6666666666666665,4.0,stimul,8.0,"3sg, or"
Максим и я прогуляют последний урок.,2.8,3.0,stimul,32.0,"3pl, and"
"И Вася, и я посмотрят документальный фильм.",3.3,3.0,stimul,2.0,"3pl, and_and"
Ты и я провожу вечер у соседей.,1.9230769230769231,2.0,stimul,6.0,"you_I, 1sg"
С артистами спектакля познакомятся мы четверо.,2.4,2.0,stimul,33.0,"we, nom, 3pl"
Эти миллион рукописей хранился в библиотеке.,2.0,2.0,stimul,16.0,"plural premodifier, singular verb"
"Каждую, кто взошла на пик Эвереста, уважают бывалые скалолазы.",5.0,5.0,stimul,33.0,"no head noun, feminine head, feminine verb"
Родион продал российский и иностранный автомобиль по сниженной цене.,5.0,5.0,stimul,22.0,"same, singular, numeral_no"
Эти миллион объявлений висел на сайте.,1.9,2.0,stimul,4.0,"plural premodifier, singular verb"
Слава или я купим эту известную картину.,5.6,6.0,stimul,19.0,"1pl, or"
Эти тысяча правок осталась без внимания.,2.0,2.0,stimul,26.0,"plural premodifier, singular verb"
Они трое переедет в соседние страны.,1.5,2.0,stimul,32.0,"they, nom, 3sg"
В четверг Леня посмотрел отрывки итальянского и немецкого фильма.,4.714285714285714,5.0,stimul,8.0,"singular, and"
Я и ты отвожу диван в гараж.,2.142857142857143,2.0,stimul,17.0,"I_you, 1sg"
Я и Данила найду верный ответ.,1.9,2.0,stimul,20.0,"1sg, and"
Я и ты покупаю телевизор для бабушки.,2.75,3.0,stimul,1.0,"I_you, 1sg"
"Каждую журналистку, кто служила в редакции издания, удручает сложившаяся ситуация.",3.4285714285714284,3.0,stimul,16.0,"with head noun, feminine head, feminine verb"
Расход и прибыль складывается в годовом отчете.,4.0,4.0,stimul,16.0,"symmetric, singular verb, SV"
В баскетбол играли эти десяток игроков.,3.0,3.0,desyatok,16.0,"nom, animated"
На нижнем рисунке находятся окружность и отрезок.,5.8,6.0,stimul,26.0,"nonsymmetric, plural verb, VS"
В маленькой сумке Аня носит паспорт и кошелек.,6.555555555555555,7.0,filler,501.0,good
"Или Саша, или я отнесу это тяжёлое ведро.",4.4,4.0,stimul,32.0,"1sg, or_or"
На студенческих конференциях выступят они четверо.,2.888888888888889,3.0,stimul,21.0,"they, nom, 3pl"
Вера и религия игнорируется в этой теории.,5.4,5.0,stimul,23.0,"nonsymmetric, singular verb, SV"
Карьера и образование связывается в последнем докладе.,3.3,3.0,stimul,8.0,"symmetric, singular verb, SV"
В правом углу соприкасается дом и изгородь.,3.857142857142857,4.0,stimul,14.0,"symmetric, singular verb, VS"
"Или я, или Стёпа исполнит эту оперную арию.",2.7,3.0,stimul,4.0,"3sg, or_or"
На конкурсе чтецов победим мы двое.,5.285714285714286,5.0,stimul,37.0,"we, nom, 1pl"
"В жестяной раковине, крепившейся к стене, лежало четыре губки.",5.333333333333333,5.0,stimul,8.0,"singular verb, VS, feminine noun"
"Или я, или Лёва решит эту сложную задачу.",4.7,5.0,stimul,11.0,"3sg, or_or"
В декабре Юра включил белую и разноцветную гирлянды.,5.5,6.0,stimul,28.0,"plural, and"
Комнату у метро снимаешь ты и я.,3.533333333333333,4.0,stimul,5.0,"you_I, 2sg"
В старых кладовках приберётся шестеро из нас.,5.222222222222222,5.0,stimul,47.0,"we, elect, 3sg"
Я и Федя разработает детальный план.,2.4,2.0,stimul,27.0,"3sg, and"
Доказательства убедил сотню человек.,1.25,1.0,,501.0,bad
"Каждого школьника, кто был на уроке труда, радует приготовленный суп.",4.75,5.0,stimul,22.0,"with head noun, masculine head, masculine verb"
Смирение и тщеславие противопоставляется в религиозных текстах.,4.142857142857143,4.0,stimul,15.0,"symmetric, singular verb, SV"
Долг и зло отображаются в оригинальном сценарии.,4.25,4.0,stimul,28.0,"nonsymmetric, plural verb, SV"
Во время прогулки Дима нашел сибирскую и китайскую ели.,5.857142857142857,6.0,stimul,2.0,"plural, and"
"Тот лыжник, кто попадет в сборную, заслужат уважение.",2.717647058823529,3.0,filler,501.0,bad
"Или Юра, или я устрою этот детский праздник.",4.222222222222222,4.0,stimul,12.0,"1sg, or_or"
"Или я, или Олег подпишем это деловое соглашение.",4.8,5.0,stimul,17.0,"1pl, or_or"
В первом предложении склоняются существительное и местоимение.,5.75,6.0,stimul,21.0,"nonsymmetric, plural verb, VS"
Они семеро переоденется в карнавальные костюмы.,2.0,2.0,stimul,6.0,"they, nom, 3sg"
Я и Гена продолжит заочное обучение.,3.0,3.0,stimul,15.0,"3sg, and"
В официальной версии скрывается правда и ложь.,6.1,6.0,stimul,5.0,"nonsymmetric, singular verb, VS"
На первом этапе скрепляется стекло и рама.,5.0,5.0,stimul,24.0,"symmetric, singular verb, VS"
В важные переговоры вмешаемся шестеро из нас.,2.333333333333333,2.0,stimul,29.0,"we, elect, 1pl"
Андрей наденет тёплую куртку.,6.461538461538462,6.0,filler,33.0,good
"Каждый, о ком рассказал древний эпос, имеет реальный прототип.",5.29,5.0,filler,37.0,good
Мои множество студентов выпустилось из университета.,1.5,2.0,stimul,24.0,"plural premodifier, singular verb"
С очевидцами аварии побеседует мы пятеро.,2.375,2.0,stimul,34.0,"we, nom, 3sg"
Гена и я продолжит заочное обучение.,3.0,3.0,stimul,15.0,"3sg, and"
Альберт представился внимательным зрителям и судьям перед началом соревнования.,4.619047619047619,5.0,filler,,good
Мои ряд клиентов торговал на бирже.,1.7,2.0,stimul,20.0,"plural premodifier, singular verb"
В мамином характере проявляется мягкость и строгость.,5.8,6.0,stimul,1.0,"nonsymmetric, singular verb, VS"
Мы двое остановится в дешёвых хостелах.,1.8888888888888888,2.0,stimul,7.0,"we, nom, 3sg"
Трое из нас опубликуемся в научных журналах.,3.0,3.0,stimul,2.0,"we, elect, 1pl"
Моё множество экземпляров продавалось в магазинах.,3.8,4.0,stimul,8.0,"singular premodifier, singular verb"
Теперь ты и Юля пишете детскую книжку.,3.7142857142857135,4.0,stimul,11.0,"conjunction, 2nd person pronoun"
Они шестеро поступят в столичные вузы.,5.1,5.0,stimul,17.0,"they, nom, 3pl"
Завтра вы с Лизой измеряете скорость чтения.,5.857142857142857,6.0,stimul,14.0,"inclusory comitative, 2nd person pronoun"
"Каждого космонавта, про кого рассказывал восторженный экскурсовод, награждал пожилого генерал.",2.134020618556701,2.0,filler,37.0,bad
"И Андрей, и я увидим кукольный спектакль.",5.7,6.0,stimul,4.0,"1pl, and_and"
Родион продал российский и иностранные автомобили по сниженной цене.,4.571428571428571,5.0,stimul,22.0,"different, plural, numeral_no"
Я и ты отмываешь духовку от жира.,2.5,2.0,stimul,10.0,"I_you, 2sg"
"Каждый, кто публиковался в спецвыпуске журнала, демонстрирует оригинальный стиль.",6.625,7.0,stimul,29.0,"no head noun, masculine head, masculine verb"
В этом сентябре Инна встретил жен одноклассника и однокурсника.,2.136842105263158,2.0,filler,33.0,bad
Гена или я раскроют это подлое преступление.,3.6,4.0,stimul,23.0,"3pl, or"
Ты и я копаю грядку под редис.,2.3076923076923075,2.0,stimul,24.0,"you_I, 1sg"
Мы пятеро прикрепится к новым поликлиникам.,1.6666666666666667,2.0,stimul,40.0,"we, nom, 3sg"
Парикмахер воспользуется фиолетовым или синим пигментами.,5.333333333333333,5.0,stimul,28.0,"plural, or"
"Каждая старушка, кто остался в поселении старообрядцев, ведёт собственное хозяйство.",5.285714285714286,5.0,stimul,28.0,"with head noun, feminine head, masculine verb"
"Все фотографы, кто успеют к началу, снимут режиссера.",3.7777777777777777,4.0,stimul,29.0,"with head noun, plural verb"
Они пятеро побеседуют с очевидцами аварии.,4.0,4.0,stimul,34.0,"they, nom, 3pl"
Никита повесил напечатанные и нарисованные плакаты в актовом зале.,5.142857142857143,5.0,stimul,13.0,"same, plural, numeral_no"
Ты и я строишь крепость из снега.,2.2857142857142856,2.0,stimul,30.0,"you_I, 2sg"
"И Никита, и я попросят дополнительный отгул.",3.7777777777777777,4.0,stimul,10.0,"3pl, and_and"
Я или Яша закажем этот дорогой десерт.,4.9,5.0,stimul,24.0,"1pl, or"
Захар прочитал пять детективных и три фантастических рассказа по моей просьбе.,6.714285714285714,7.0,stimul,9.0,"different, singular, numeral_yes"
Обычно он и Люся находят верное решение.,5.909090909090909,6.0,stimul,8.0,"conjunction, 3rd person pronoun"
Геолог будет заниматься подводным или наземным вулканом.,4.941176470588236,5.0,stimul,23.0,"singular, or"
"Три веранды выходили на оживлённую улицу, проходившую через центр.",5.083333333333333,5.0,stimul,9.0,"plural verb, SV, feminine noun"
Елизавета расписалась в пяти официальных договоре в течение дня.,2.1058823529411765,2.0,filler,,bad
С заменой лампочек справятся они шестеро.,3.2222222222222223,3.0,stimul,11.0,"they, nom, 3pl"
"Каждую студентку, кто участвовала в конференции института, привлекает теоретическая физика.",3.692307692307693,4.0,stimul,3.0,"with head noun, feminine head, feminine verb"
"Или Вова, или я споёт эту весёлую песню.",2.7,3.0,stimul,3.0,"3sg, or_or"
Я и ты вырезаю снежинки из бумаги.,3.333333333333333,3.0,stimul,32.0,"I_you, 1sg"
"Или Гена, или я раскрою это подлое преступление.",3.333333333333333,3.0,stimul,23.0,"1sg, or_or"
Сердце и круг чередуются в причудливом узоре.,6.0,6.0,stimul,32.0,"symmetric, plural verb, SV"
Я и ты готовлю перекус из овощей.,2.7,3.0,stimul,31.0,"I_you, 1sg"
Я или Максим приобретёт этот старинный дом.,3.4,3.0,stimul,22.0,"3sg, or"
В старых кладовках приберётся шестеро из них.,4.0,4.0,stimul,47.0,"they, elect, 3sg"
С артистами спектакля познакомится четверо из нас.,5.444444444444445,5.0,stimul,33.0,"we, elect, 3sg"
Лицо и фон стирается на старой фотографии.,4.25,4.0,stimul,2.0,"nonsymmetric, singular verb, SV"
Эта дюжина просьб привели к отказу.,1.2727272727272727,1.0,stimul,11.0,"singular premodifier, plural verb"
В его поведении люди видят лицемерие и заносчивость.,6.345454545454546,6.0,filler,501.0,good
Ты и я намечают переезд за границу.,3.090909090909091,3.0,stimul,26.0,"you_I, 3pl"
Вечером Алла и Гоша зажигаем ароматические свечи.,1.987951807228916,2.0,filler,28.0,bad
Семеро из них возьмётся за новые проекты.,1.4,1.0,stimul,42.0,"they, elect, 3sg"
Ты и я снимаешь комнату у метро.,1.9230769230769231,2.0,stimul,5.0,"you_I, 2sg"
Мы все объявим о скорых отставках.,5.666666666666667,6.0,stimul,36.0,"we, nom, 1pl"
Шестеро из нас справятся с заменой лампочек.,5.2727272727272725,5.0,stimul,11.0,"we, elect, 3pl"
О нужных продуктах позаботится семеро из нас.,4.444444444444445,4.0,stimul,30.0,"we, elect, 3sg"
Гриша и я сыграю шахматную партию.,3.4,3.0,stimul,29.0,"1sg, and"
В оригинальном сценарии отображается долг и зло.,3.7142857142857135,4.0,stimul,28.0,"nonsymmetric, singular verb, VS"
Я и Гриша сыграем шахматную партию.,4.7,5.0,stimul,29.0,"1pl, and"
Клиент откроет депозитный или текущий счета.,3.5625,4.0,stimul,6.0,"plural, or"
Осенью мы с Женей разбираем пыльные антресоли.,6.0,6.0,stimul,22.0,"inclusory comitative, 1st person pronoun"
"И я, и Андрей увидят кукольный спектакль.",2.555555555555556,3.0,stimul,4.0,"3pl, and_and"
"Или я, или Стёпа исполню эту оперную арию.",2.6,3.0,stimul,4.0,"1sg, or_or"
Весной ты и Таня покупаете новую одежду.,4.428571428571429,4.0,stimul,5.0,"conjunction, 2nd person pronoun"
"Каждую, кто прибыла на берег океана, охватывает незабываемое ощущение.",3.8333333333333335,4.0,stimul,17.0,"no head noun, feminine head, feminine verb"
Туристы занимают партером и ложу в Большом театре.,1.7272727272727273,2.0,filler,501.0,bad
На утренних поездах приедут мы шестеро.,1.9,2.0,stimul,5.0,"we, nom, 3pl"
Этот миллион выпускников поступал в университет.,3.7777777777777777,4.0,stimul,32.0,"singular premodifier, singular verb"
Двое легкоатлетов будут сняты с соревнования.,5.884892086330935,6.0,filler,,good
