sentence,response,group,filler_type,type,sentence_id,lexicalization,condition,quant,strategy,pronoun,verb,author,response_round
За новые проекты возьмёмся семеро из нас.,2.555555555555556,A,,stimul,657,42.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
За новые проекты возьмётся мы семеро.,2.142857142857143,H,,stimul,664,42.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
За новые проекты возьмётся они семеро.,1.5555555555555556,J,,stimul,666,42.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
За новые проекты возьмётся семеро из нас.,5.555555555555555,C,,stimul,659,42.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,6.0
За новые проекты возьмётся семеро из них.,3.7777777777777777,E,,stimul,661,42.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
За первые парты сядем все из нас.,2.555555555555556,K,,stimul,619,39.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
За первые парты сядем мы все.,5.0,N,,stimul,622,39.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
За первые парты сядем мы четверо.,4.0,F,,stimul,614,39.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
За первые парты сядем четверо из нас.,2.111111111111111,A,,stimul,609,39.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
За первые парты сядет мы четверо.,1.625,H,,stimul,616,39.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
За первые парты сядет они четверо.,1.4444444444444444,J,,stimul,618,39.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,1.0
За первые парты сядет четверо из нас.,5.666666666666667,C,,stimul,611,39.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,6.0
За первые парты сядет четверо из них.,3.555555555555556,E,,stimul,613,39.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
За первые парты сядут все из нас.,3.2222222222222223,L,,stimul,620,39.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
За первые парты сядут все из них.,3.6666666666666665,M,,stimul,621,39.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
За первые парты сядут мы все.,2.571428571428572,O,,stimul,623,39.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
За первые парты сядут мы четверо.,1.9,G,,stimul,615,39.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
За первые парты сядут они все.,4.222222222222222,P,,stimul,624,39.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
За первые парты сядут они четверо.,3.111111111111111,I,,stimul,617,39.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
За первые парты сядут четверо из нас.,5.666666666666667,B,,stimul,610,39.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
За первые парты сядут четверо из них.,5.444444444444445,D,,stimul,612,39.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
За поломанные инструменты ответим все из нас.,2.6666666666666665,K,,stimul,555,35.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
За поломанные инструменты ответим мы все.,4.875,N,,stimul,558,35.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
За поломанные инструменты ответим мы шестеро.,4.375,F,,stimul,550,35.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
За поломанные инструменты ответим шестеро из нас.,2.555555555555556,A,,stimul,545,35.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
За поломанные инструменты ответит мы шестеро.,2.0,H,,stimul,552,35.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
За поломанные инструменты ответит они шестеро.,1.5555555555555556,J,,stimul,554,35.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
За поломанные инструменты ответит шестеро из нас.,5.555555555555555,C,,stimul,547,35.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,6.0
За поломанные инструменты ответит шестеро из них.,4.0,E,,stimul,549,35.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
За поломанные инструменты ответят все из нас.,3.6666666666666665,L,,stimul,556,35.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
За поломанные инструменты ответят все из них.,4.333333333333333,M,,stimul,557,35.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
За поломанные инструменты ответят мы все.,2.625,O,,stimul,559,35.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
За поломанные инструменты ответят мы шестеро.,1.6,G,,stimul,551,35.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
За поломанные инструменты ответят они все.,5.0,P,,stimul,560,35.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
За поломанные инструменты ответят они шестеро.,3.6666666666666665,I,,stimul,553,35.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,4.0
За поломанные инструменты ответят шестеро из нас.,5.666666666666667,B,,stimul,546,35.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
За поломанные инструменты ответят шестеро из них.,5.333333333333333,D,,stimul,548,35.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
К новым поликлиникам прикрепимся все из нас.,2.7777777777777777,K,,stimul,635,40.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
К новым поликлиникам прикрепимся мы все.,4.25,N,,stimul,638,40.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
К новым поликлиникам прикрепимся мы пятеро.,4.625,F,,stimul,630,40.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,5.0
К новым поликлиникам прикрепимся пятеро из нас.,2.333333333333333,A,,stimul,625,40.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
К новым поликлиникам прикрепится мы пятеро.,1.875,H,,stimul,632,40.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
К новым поликлиникам прикрепится они пятеро.,1.7777777777777777,J,,stimul,634,40.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
К новым поликлиникам прикрепится пятеро из нас.,5.555555555555555,C,,stimul,627,40.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,6.0
К новым поликлиникам прикрепится пятеро из них.,3.888888888888889,E,,stimul,629,40.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
К новым поликлиникам прикрепятся все из нас.,3.888888888888889,L,,stimul,636,40.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
К новым поликлиникам прикрепятся все из них.,4.555555555555555,M,,stimul,637,40.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,5.0
К новым поликлиникам прикрепятся мы все.,2.75,O,,stimul,639,40.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
К новым поликлиникам прикрепятся мы пятеро.,1.6,G,,stimul,631,40.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
К новым поликлиникам прикрепятся они все.,4.25,P,,stimul,640,40.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
К новым поликлиникам прикрепятся они пятеро.,2.375,I,,stimul,633,40.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,2.0
К новым поликлиникам прикрепятся пятеро из нас.,5.666666666666667,B,,stimul,626,40.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
К новым поликлиникам прикрепятся пятеро из них.,5.222222222222222,D,,stimul,628,40.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
К поисковым отрядам присоединимся все из нас.,3.0,K,,stimul,443,28.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
К поисковым отрядам присоединимся мы все.,3.5,N,,stimul,446,28.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
К поисковым отрядам присоединимся мы пятеро.,3.857142857142857,F,,stimul,438,28.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
К поисковым отрядам присоединимся пятеро из нас.,2.4444444444444446,A,,stimul,433,28.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
К поисковым отрядам присоединится мы пятеро.,2.125,H,,stimul,440,28.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
К поисковым отрядам присоединится они пятеро.,1.7777777777777777,J,,stimul,442,28.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
К поисковым отрядам присоединится пятеро из нас.,5.555555555555555,C,,stimul,435,28.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,6.0
К поисковым отрядам присоединится пятеро из них.,4.0,E,,stimul,437,28.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
К поисковым отрядам присоединятся все из нас.,3.6666666666666665,L,,stimul,444,28.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
К поисковым отрядам присоединятся все из них.,4.555555555555555,M,,stimul,445,28.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,5.0
К поисковым отрядам присоединятся мы все.,2.375,O,,stimul,447,28.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
К поисковым отрядам присоединятся мы пятеро.,2.5,G,,stimul,439,28.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
К поисковым отрядам присоединятся они все.,4.555555555555555,P,,stimul,448,28.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
К поисковым отрядам присоединятся они пятеро.,3.5,I,,stimul,441,28.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,4.0
К поисковым отрядам присоединятся пятеро из нас.,5.888888888888889,B,,stimul,434,28.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
К поисковым отрядам присоединятся пятеро из них.,6.111111111111111,D,,stimul,436,28.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
Мы с Васей съездим на море в августе.,5.913043478260869,Fil,good,filler,769,,,,,,,Belova_2023_2,6.0
Мы с Гришей купим водоросли для нового аквариума.,6.24822695035461,Fil,good,filler,772,,,,,,,Belova_2023_2,6.0
Мы с Даней будем коллекционировать редкие монеты.,6.414285714285715,Fil,good,filler,777,,,,,,,Belova_2023_2,6.0
Мы с Егором внесёт аванс за квартирами.,2.021582733812949,Fil,bad,filler,802,,,,,,,Belova_2023_2,2.0
Мы с Настей пойдём на рыбалку в воскресенье.,6.49645390070922,Fil,good,filler,770,,,,,,,Belova_2023_2,6.0
Мы с Никитой досмотрят хороший сериал про пираты.,1.8695652173913044,Fil,bad,filler,795,,,,,,,Belova_2023_2,2.0
Мы с Ритой сварит на ужин гречкой на костре.,1.83453237410072,Fil,bad,filler,799,,,,,,,Belova_2023_2,2.0
Мы с Сашей вместе снимем комнату.,6.258992805755396,Fil,good,filler,773,,,,,,,Belova_2023_2,6.0
Мы с друзьями отправят стихи в районной газеты.,2.057142857142857,Fil,bad,filler,794,,,,,,,Belova_2023_2,2.0
На акустической гитаре сыграем все из нас.,2.6666666666666665,K,,stimul,203,13.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
На акустической гитаре сыграем двое из нас.,2.555555555555556,A,,stimul,193,13.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
На акустической гитаре сыграем мы все.,3.875,N,,stimul,206,13.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
На акустической гитаре сыграем мы двое.,4.25,F,,stimul,198,13.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
На акустической гитаре сыграет двое из нас.,3.888888888888889,C,,stimul,195,13.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,4.0
На акустической гитаре сыграет двое из них.,4.111111111111111,E,,stimul,197,13.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
На акустической гитаре сыграет мы двое.,2.125,H,,stimul,200,13.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
На акустической гитаре сыграет они двое.,1.2222222222222223,J,,stimul,202,13.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,1.0
На акустической гитаре сыграют все из нас.,3.888888888888889,L,,stimul,204,13.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
На акустической гитаре сыграют все из них.,4.0,M,,stimul,205,13.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
На акустической гитаре сыграют двое из нас.,5.444444444444445,B,,stimul,194,13.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
На акустической гитаре сыграют двое из них.,5.666666666666667,D,,stimul,196,13.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
На акустической гитаре сыграют мы все.,2.5,O,,stimul,207,13.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
На акустической гитаре сыграют мы двое.,1.8,G,,stimul,199,13.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
На акустической гитаре сыграют они все.,3.888888888888889,P,,stimul,208,13.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
На акустической гитаре сыграют они двое.,2.6666666666666665,I,,stimul,201,13.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
На двугорбых верблюдах покатаемся все из нас.,2.555555555555556,K,,stimul,411,26.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
На двугорбых верблюдах покатаемся мы все.,4.5,N,,stimul,414,26.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
На двугорбых верблюдах покатаемся мы трое.,4.0,F,,stimul,406,26.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
На двугорбых верблюдах покатаемся трое из нас.,2.6666666666666665,A,,stimul,401,26.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
На двугорбых верблюдах покатается мы трое.,2.125,H,,stimul,408,26.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
На двугорбых верблюдах покатается они трое.,1.5555555555555556,J,,stimul,410,26.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
На двугорбых верблюдах покатается трое из нас.,5.444444444444445,C,,stimul,403,26.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
На двугорбых верблюдах покатается трое из них.,3.555555555555556,E,,stimul,405,26.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
На двугорбых верблюдах покатаются все из нас.,3.4444444444444446,L,,stimul,412,26.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
На двугорбых верблюдах покатаются все из них.,4.75,M,,stimul,413,26.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,5.0
На двугорбых верблюдах покатаются мы все.,2.5,O,,stimul,415,26.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
На двугорбых верблюдах покатаются мы трое.,1.8,G,,stimul,407,26.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
На двугорбых верблюдах покатаются они все.,4.555555555555555,P,,stimul,416,26.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
На двугорбых верблюдах покатаются они трое.,2.875,I,,stimul,409,26.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
На двугорбых верблюдах покатаются трое из нас.,5.444444444444445,B,,stimul,402,26.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
На двугорбых верблюдах покатаются трое из них.,6.111111111111111,D,,stimul,404,26.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
На конкурсе чтецов победим все из нас.,2.888888888888889,K,,stimul,587,37.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
На конкурсе чтецов победим двое из нас.,2.111111111111111,A,,stimul,577,37.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
На конкурсе чтецов победим мы все.,5.25,N,,stimul,590,37.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
На конкурсе чтецов победим мы двое.,5.285714285714286,F,,stimul,582,37.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,5.0
На конкурсе чтецов победит двое из нас.,5.333333333333333,C,,stimul,579,37.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
На конкурсе чтецов победит двое из них.,4.555555555555555,E,,stimul,581,37.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,5.0
На конкурсе чтецов победит мы двое.,1.75,H,,stimul,584,37.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
На конкурсе чтецов победит они двое.,1.6666666666666667,J,,stimul,586,37.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
На конкурсе чтецов победят все из нас.,3.111111111111111,L,,stimul,588,37.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
На конкурсе чтецов победят все из них.,4.555555555555555,M,,stimul,589,37.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,5.0
На конкурсе чтецов победят двое из нас.,5.444444444444445,B,,stimul,578,37.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
На конкурсе чтецов победят двое из них.,5.888888888888889,D,,stimul,580,37.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
На конкурсе чтецов победят мы все.,2.5,O,,stimul,591,37.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
На конкурсе чтецов победят мы двое.,1.9,G,,stimul,583,37.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
На конкурсе чтецов победят они все.,4.444444444444445,P,,stimul,592,37.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
На конкурсе чтецов победят они двое.,3.111111111111111,I,,stimul,585,37.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
На курсы вождения пойдут все из нас.,3.6666666666666665,L,,stimul,732,46.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
На курсы вождения пойдут все из них.,4.777777777777778,M,,stimul,733,46.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,5.0
На курсы вождения пойдут мы все.,2.4285714285714284,O,,stimul,735,46.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
На курсы вождения пойдут мы пятеро.,1.9,G,,stimul,727,46.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
На курсы вождения пойдут они все.,4.777777777777778,P,,stimul,736,46.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
На курсы вождения пойдут они пятеро.,3.2222222222222223,I,,stimul,729,46.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
На курсы вождения пойдут пятеро из нас.,5.666666666666667,B,,stimul,722,46.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
На курсы вождения пойдут пятеро из них.,5.888888888888889,D,,stimul,724,46.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
На курсы вождения пойдём все из нас.,2.6666666666666665,K,,stimul,731,46.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
На курсы вождения пойдём мы все.,5.0,N,,stimul,734,46.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
На курсы вождения пойдём мы пятеро.,3.875,F,,stimul,726,46.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
На курсы вождения пойдём пятеро из нас.,2.7777777777777777,A,,stimul,721,46.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
На курсы вождения пойдёт мы пятеро.,2.375,H,,stimul,728,46.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
На курсы вождения пойдёт они пятеро.,1.5555555555555556,J,,stimul,730,46.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
На курсы вождения пойдёт пятеро из нас.,5.333333333333333,C,,stimul,723,46.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
На курсы вождения пойдёт пятеро из них.,4.555555555555555,E,,stimul,725,46.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,5.0
На предложения конкурентов согласимся все из нас.,2.7777777777777777,K,,stimul,219,14.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
На предложения конкурентов согласимся мы все.,4.0,N,,stimul,222,14.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
На предложения конкурентов согласимся мы трое.,3.5,F,,stimul,214,14.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
На предложения конкурентов согласимся трое из нас.,2.6666666666666665,A,,stimul,209,14.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
На предложения конкурентов согласится мы трое.,1.625,H,,stimul,216,14.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
На предложения конкурентов согласится они трое.,2.0,J,,stimul,218,14.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
На предложения конкурентов согласится трое из нас.,5.0,C,,stimul,211,14.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
На предложения конкурентов согласится трое из них.,4.333333333333333,E,,stimul,213,14.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
На предложения конкурентов согласятся все из нас.,3.7777777777777777,L,,stimul,220,14.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
На предложения конкурентов согласятся все из них.,4.333333333333333,M,,stimul,221,14.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
На предложения конкурентов согласятся мы все.,2.375,O,,stimul,223,14.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
На предложения конкурентов согласятся мы трое.,1.8,G,,stimul,215,14.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
На предложения конкурентов согласятся они все.,4.666666666666667,P,,stimul,224,14.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
На предложения конкурентов согласятся они трое.,3.111111111111111,I,,stimul,217,14.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
На предложения конкурентов согласятся трое из нас.,5.5,B,,stimul,210,14.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
На предложения конкурентов согласятся трое из них.,5.333333333333333,D,,stimul,212,14.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
На проходной завода отметимся все из нас.,2.6666666666666665,K,,stimul,603,38.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
На проходной завода отметимся мы все.,4.625,N,,stimul,606,38.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
На проходной завода отметимся мы трое.,4.625,F,,stimul,598,38.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,5.0
На проходной завода отметимся трое из нас.,2.2222222222222223,A,,stimul,593,38.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
На проходной завода отметится мы трое.,2.4285714285714284,H,,stimul,600,38.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
На проходной завода отметится они трое.,1.5555555555555556,J,,stimul,602,38.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
На проходной завода отметится трое из нас.,5.222222222222222,C,,stimul,595,38.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
На проходной завода отметится трое из них.,3.4444444444444446,E,,stimul,597,38.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,3.0
На проходной завода отметятся все из нас.,3.4444444444444446,L,,stimul,604,38.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
На проходной завода отметятся все из них.,4.0,M,,stimul,605,38.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
На проходной завода отметятся мы все.,3.0,O,,stimul,607,38.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
На проходной завода отметятся мы трое.,1.9,G,,stimul,599,38.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
На проходной завода отметятся они все.,4.555555555555555,P,,stimul,608,38.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
На проходной завода отметятся они трое.,3.2222222222222223,I,,stimul,601,38.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
На проходной завода отметятся трое из нас.,5.111111111111111,B,,stimul,594,38.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
На проходной завода отметятся трое из них.,5.444444444444445,D,,stimul,596,38.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
На пятничную вечеринку придут все из нас.,3.111111111111111,L,,stimul,12,1.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
На пятничную вечеринку придут все из них.,4.444444444444445,M,,stimul,13,1.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
На пятничную вечеринку придут двое из нас.,5.222222222222222,B,,stimul,2,1.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
На пятничную вечеринку придут двое из них.,6.0,D,,stimul,4,1.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
На пятничную вечеринку придут мы все.,2.625,O,,stimul,15,1.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
